 a few seconds| câteva sec.
OpenGL 2.0 is required to run SPB Shell 3D|OpenGl 2.0 este necesar pentru a rula SPB Shell 3D
Optimized anaglyph (red/cyan)|Anaglyph optimizat (rosu/bleu)
Other (assistant)|Altele (asistent)
Page|Pagina
Panel Name|Nume panou
Parsing skins catalog failed!|Analiza catalogului de faţete a eşuat!
Partly cloudy|Parţial noros
Partly cloudy, rain|Parţial noros, ploaie
Partly cloudy, snow|Parţial noros, zăpadă
Partly cloudy, thunder|Parţial noros, tunete
People|Oameni
Performance Warning|Alertă performanţă
Performance Warning dialog|Casetă alertă performanţă
Personal|Personal
Phone|Telefon
Photo folder for gallery widgets|Folder imagini pentru widget
Picture Gallery|Galerie imagini
Picture of the Day|Imaginea zilei
Picture Panel Settings|Setări panou Imagini
Pictures|Imagini
Pictures Of The Day|Imaginile zilei
Pictures Panel|Panou imagini
Pictures Settings|Setări imagini
Please Log In|Vă rugăm sa vă conectaţi
Please wait...|Aşteptaţi.
Portrait|Portret
Pressure:|Presiunea:
Problem loading widget|Problemă la încărcare widget
Productivity|Productivitate
Program|Program
Pulkovo|Pulkovo
Purchase|Cumpără
Purple|Mov
Radio off|Radio oprit
rd_loc|lea
Reading appointments...|Citire programări...
Recycle Bin|Coş de reciclare
Red|Roşu
Reduced|Redus
Reload skin list|Reîncărcare listă faţete
Remove All|Şterge toate
Rename|Redenumire
Rename Panel|Redenumeşte panou
Requesting images|Solicitare imagini
Retry|Reîncearcă
Rise: %s|Răsare: %s
RSS Feed|Flux RSS
RSS Panel|Panou RSS
RSS Panel Settings|Setări panou RSS
S|S
Safe mode|Mod sigur
Sagittarius|Săgetător
Saint-Petersburg|Saint-Petersburg
Save as New|Salvează ca nou
Save to Existing|Salvează către existent
Scorpio|Scorpion
Screen orientation|Orientare ecran
SE|SE
Searching|Căutare
Select cities|Selectare orașe
Select e-mail address|Selectare adresă email:
Select phone number:|Selectare număr telefon:
Select shortcut|Selectează scurtătură
Select Skin|Selectează faţetă
Select wallpaper from|Selectează tapet de la
Selected cities|Orașe selectatate
Selected City|Oraş selectat
Selected city|Oraş selectat
Send Email|Trimite Email
Send E-mail|Trimite E-mail
Send E-Mail|Trimite E-mail
