 a few seconds| några sekunder
Lunar day %d|Måndygn %d
Manage apps|Hantera appar
Manage Apps|Hantera appar
Manage panels|Hantera paneler
Manage Panels|Hantera paneler
March|Mars
May|Maj
Medium|Medelsvår
Messaging|Meddelanden
Meters per second|Meter per sekund
Miles per hour|Miles per timme
Millimetres|Millimeter
Misc|Diverse
Miscellaneous|Diverse
mm|mm
Mobile|Mobil
Mode|Läge
Monday|Måndag
Moon|Månen
Moon Calendar|Månkalender
Moon in %s,|Månen i %s,
Morning|Morgon
mph|mph
mps|m/s
Multimedia|Multimedia
Music|Musik
Music albums|Musikalbum
N|N
N/A|N/A
nd|:a
NE|NO
Network Status|Nätverksstatus
Never|Aldrig
New|Ny
New Channel|Ny kanal
New channel|Ny kanal
New Contact|Ny kontakt
New Folder|Ny mapp
New Moon|Nymåne
New update available|Det finns en ny uppdatering
News|Nyheter
News Panel|Nyhetspanel
News Panel Settings|Inställningar för nyhetspanel
next|Nästa
Next Alarm|Nästa alarm
Night|Natt
No|Nej
no|Nej
No Alarms|Inga alarm
No birthdays|Inga födelsedagar
No calls|Inga samtal
No Cities|Inga städer
No conditions|Ingen prognos
No Contacts.|Inga kontakter
No Countries|Inga länder
No deals loaded|Inga erbjudanden laddade
No Images|Inga bilder
No messages|Inga meddelanden
No news|Inga nyheter
No rise/set info|Ingen upp-/nedgångsinfo.
No RSS feed found at|Inget RSS-flöde hittat på
No rss loaded|Ingen RSS hämtad
No SIM|Inget SIM
No text messages|Inga textmeddelanden
No title|Ingen titel
No upcoming events|Inga kommande händelser
No upcoming events in a week|Inga planerade aktiviteter närmaste veckan
No updates|Inga uppdateringar
No weather forecast|Ingen väderprognos
Normal|Normal
north|norr
north east|nordost
north west|nordväst
Not available|Ej tillgänglig
Not connected|Ej ansluten
Notes|Anteckningar
Note's default color|Standardfärg för anteckningar
Note's font|Typsnitt för anteckningar
Notes Panel|Anteckningspanel
Notes Panel Settings|Inställningar för anteckningspanel
November|November
NW|NV
October|October
Off|Av
Offer|Erbjudande
On|På
One Touch Share|One Touch Share
Only on free connections|Bara gratis anslutningar
Open Contact|Öppna kontakt
Open in Browser|Öppna i browser
OpenGL 2.0 is required to run SPB Shell 3D|SPB Shell 3D kräver OpenGl 2.0
Optimized anaglyph (red/cyan)|Optimerad anaglyf (röd/cyan)
Other (assistant)|Annan (assistent)
Page|Sida
Pages: %d, images: %d|Sidor: %d, bilder: %d
Panel Name|Panelnamn
Panels|Paneler
Panels Settings|Panelinställningar
Parsing skins catalog failed!|Parsning av skalkatalog misslyckades!
Partly cloudy|Halvklart
Partly cloudy, rain|Halvklart, regn
Partly cloudy, snow|Halvklart, snö
Partly cloudy, thunder|Halvklart, åska
People|Personer
Performance Warning|Prestandavarning
Performance Warning dialog|Prestandavarningsdialog
Personal|Personligt
Phone|Telefon
Photo folder for gallery widgets|Fotomapp för galleriwidgetar
Picture Gallery|Bildgalleri
Picture of the Day|Dagens bild
Picture Panel Settings|Inställningar för bildpanel
Pictures|Bilder
Pictures Of The Day|Dagens bilder
Pictures Panel|Bildpanel
Pictures Panel Settings|Inställningar för bildpanel
Pictures Settings|Bildinställningar
Pisces|Fiskarna
Please Log In|Var vänlig logga in
Please wait...|Vänligen vänta.
Portrait|Stående
Pressure:|Tryck:
Problem loading widget|Kunde inte ladda widget
Productivity|Produktivitet
Program|Program
Pulkovo|Pulkovo
Purchase|Köp
Purple|Lila
Quick Setting|Snabbinställning
Radio off|Radio av
rd_loc|:e
Reading appointments...|Läser avtalade tider...
Recycle Bin|Papperskorgen
Red|Röd
Reduced|Reducerad
Reload skin list|Ladda om skallista
Remove All|Ta bort alla
Rename|Byt namn
Rename Panel|Ändra namn på panel
Requesting images|Begär bilder
Retry|Försök igen
Rise: %s|Uppgång: %s
RSS Feed|RSS Feed
RSS Panel|RSS-panel
RSS Panel Settings|Inställningar för RSS-panel
S|S
Safe mode|Felsäkert läge
Sagittarius|Skytten
Saint-Petersburg|Saint-Petersburg
Save as New|Spara som ny
Save to Existing|Spara till existerande
Scorpio|Skorpionen
Screen orientation|Skärmorientering
Screen orientation will be changed to Landscape|Skärmorienteringen kommer att ändras till Liggande.
SE|SO
