RSS Panel Settings|RSS ekrano nustatymai
S|P
Safe mode|Saugus režimas
Sagittarius|Šaulys
Saint-Petersburg|Sankt Peterburgas
Save as New|Įrašyti kaip naują
Save to Existing|Įrašyti į esamą
Scorpio|Skorpionas
Screen orientation|Ekrano orientavimas
SE|PR
Searching|Ieškoma
Select Channel|Rinktis kanalą
Select cities|Pasirinkti miestus
Select e-mail address|Pasirinkti el. pašto adresą
Select phone number:|Pasirinkti tel. Nr.:
Select shortcut|Rinktis nuorodą
Select Skin|Pasirinkti apipavidalinimą
Select wallpaper from|Rinktis tapetą iš
Selected cities|Pasirinkti miestai
Selected City|Pasirinktas miestas
Selected city|Pasirinktas miestas
Send E-mail|Siųsti el. laišką
Send E-Mail|Siųsti el. laišką
Send Message|Siųsti pranešimą
Send MMS|Siųsti MMS
Send SMS|Siųsti SMS
September|Rugsėjis
Serial number:|Serijos numeris:
Set as Home|Nustatyti kaip pagrindinį
Set as Wallpaper|Nustatyti kaip tapetą
Set wallpaper|Nustatyti tapetą
Set: %s|Leidžiasi: %s
Settings|Nustatymai
Show all|Rodyti viską
Show all day events|Rodyti visos dienos įvykius
Show all day events in calendar widgets|Rodyti visos dienos įvykius kalendoriaus programėlėse
Show full news|Rodyti pilnas naujienas
Show images in news|Rodyti vaizdus naujienose
Silent|Tylus
Skin loading|Įkeliamas apipavidalinimas
Small|Mažas
Smartphone|Išmanusis telefonas
Smog|Smogas
Social|Socialiniai
Sound Profile|Garso profilis
south|pietų
south east|pietryčių
south west|pietvakarių
SPB Shell 3D is loading...|Įkeliama SPB Shell 3D...
SPB Wallpapers|SPB tapetai
SPB Widget|SPB programėlė
st|-as
Standard Edition [Beta]|Standartinis leidimas [Beta]
Stereoscopic 3D mode|Stereoskopinis 3D režimas
Stereoscopic 3D mode will be disabled|Stereoskopinis 3D režimas bus išjungtas
Stereoscopic 3D Settings|Stereoskopiniai 3D nustatymai
Sun in %s,|Saulė šiame ženkle: %s,
Sunday|Sekmadienis
SW|PV
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Sąsajos režimo prijungimas gali užtrukti iki minutės. Ekrano orientavimas bus %s.
System|Sistema
Tablet|Planšetinis kompiuteris
Taurus|Jautis
Temperatur scale|Temperatūrų skalė
Temperature scale|Temperatūrų skalė
Test Battery|Tikrinti bateriją
th|-as
Thank you for your support. Your copy is now registered.|Dėkojame už jūsų palaikymą. Dabar jūsų kopija užregistruota.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Toliau išvardintos eksperimentinės funkcijos neparuoštos pateikti su bazine SPB Shell 3D. Jose gali būti defektų, kurie gali nulemti sistemos nestabilumą. Naudokite jas tik savo nuožiūra.
The maximum number of panels is reached|Pasiektas didžiausias ekranų skaičius
The name cannot be changed.|Pavadinimo pakeisti negalima.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Ankstesnis SPB Shell 3D paleidimas buvo nesėkmingas. Norėdami įkelti dar kartą, bakstelėkite „Kartoti“, arba bakstelėkite „Pagrindinis“ norėdami įjungti kitą pagrindinį ekraną,
Time|Laikas
Time Panel|Laiko ekranas
Time Panel Settings|Laiko ekrano nustatymai
Today|Šiandien
Toggle|Perjungti
Tomorrow|Rytoj
Tools|Įrankiai
Travel|Kelionės
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Deja, jūsų pirkinio Android parduotuvėje neradome. Išdiekite šią kopiją prieš įdiegdami naują.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Deja, jūsų pirkinio rasti nepavyko. Išdiekite šią kopiją prieš įdiegdami naują.
Uninstall|Išdiegti
Uninstall apps|Išdiegti programas
Unknown|Nežinomas
Unknown location|Nežinoma vieta
Upcoming events|Būsimi įvykiai
Update|Atnaujinimas
Update deals list automatically|Pasiūlymų sąrašą atnaujinti automatiškai
Update Now|Atnaujinti dabar
Update pictures page automatically|Atnaujinti paveikslėlių psl. automatiškai
Update weather forecasts automatically|Atnaujinti orų prognozę automatiškai
Updated|Atnaujinta
Updated:|Atnaujinta:
Updating image|Atnaujinamas vaizdas
Updating...|Atnaujinama...
Use 3D in application list|Programų sąraše naudoti 3D
Use 3D in edit mode|Naudoti 3D redagavimo režimu
Use cellular connection for updating deals list|Naudoti mobilų ryšį atnaujinti pasiūlymų sąrašą
Use cellular connection for updating deals list automatically|Naudokite mobilųjį ryšį automatiškai atnaujinti sutarčių sąrašą
Use cellular connection for updating pictures automatically|Naudoti mobilų ryšį automatiškai atnaujinti paveikslėlius
Use cellular connection for updating weather automatically|Naudokite mobilųjį ryšį automatiškai atnaujinti informaciją apie orą
Use new color every time|Kaskart naudoti naują spalvą
Use previous note's color|Naudoti ankstesnės pastabos spalvą
Value|Vertė
variable|kintančios krypties
Version %s, Build %s|Versija %s, variantas %s
Vibro|Vibruojantis
Video Call|Vaizdo skambutis
View Duplicates|Peržiūrėti dublikatus
View SIM Contacts|Peržiūrėti SIM kontaktus
Virgo|Mergelė
W|V
Wallpaper|Tapetas
Wallpapers|Tapetai
Waning Crescent|Mažėjantis pusmėnulis
Waning Gibbous|Mažėjantis priešpilnis
Waxing Crescent|Didėjantis pusmėnulis
Waxing Gibbous|Didėjantis priešpilnis
Weather|Oras
Weather and Clock|Oras ir laikrodis
Weather Forecast|Oro prognozė
Weather Settings|Oro nustatymai
Welcome to notes panel|Sveiki, tai pastabų sritis
west|vakarų
Widget is too big to be added.|Programėlė per didelė, pridėti negalima.
Widgets|Valdikliai
Widgets Settings|Valdiklių nustatymai
Wind direction:|Vėjo kryptis:
Wind speed scale|Vėjo greičių skalė
Wind speed:|Vėjo greitis:
Wind:|Vėjas:
Work|Darbo
World Time|Pasaulio laikas
Wrong serial number. Please check it again.|Klaidingas serijos numeris. Prašom patikrinti dar kartą.
Yandex.Search|Yandex.Search
Yellow|Geltonas
Yes|Taip
Yesterday|Vakar
You save|Sutaupote
Your video system isn't compatible with Shell 3D.|Jūsų vaizdo sistema nesuderinama su Shell 3D.
